distance_km,traffic_level,prep_time_min,delivery_time_min
3.07,3,10.6,41.1
11.32,1,7.6,48.7
3.33,1,12.9,34.3
2.7,2,3.5,28.5
8.36,2,11.9,53.1
1.88,1,17.9,31.4
3.74,1,12.3,37.2
2.97,2,5.5,29.6
5.81,2,11.9,46.6
2.73,2,10.0,32.8
3.39,1,15.5,33.9
1.54,2,5.7,23.3
6.36,3,12.8,53.6
5.61,1,9.7,36.3
5.1,2,16.2,46.2
4.16,1,13.9,36.9
4.56,1,9.1,35.7
7.17,2,15.4,46.1
5.47,2,11.2,40.6
7.18,2,16.7,52.9
4.48,1,14.4,40.1
2.93,3,15.6,42.4
9.27,3,11.3,57.4
2.76,2,11.0,34.6
1.48,2,10.5,29.1
1.8,2,12.9,38.8
4.19,2,4.0,33.0
8.34,3,18.3,69.7
6.39,3,12.6,54.7
7.71,2,12.6,44.0
10.09,3,6.5,59.1
4.2,1,7.6,32.7
2.86,2,8.0,34.4
7.17,1,14.8,52.7
13.07,2,9.1,64.2
11.74,2,9.0,61.1
3.16,1,15.0,32.2
3.71,1,9.1,32.7
16.18,2,5.0,69.1
15.56,2,3.0,65.6
4.17,2,11.9,36.9
5.97,2,18.7,51.2
4.08,2,14.6,38.0
1.18,1,14.2,33.1
3.81,1,8.0,27.9
5.46,3,18.5,51.0
2.13,3,9.8,38.2
5.68,2,16.8,53.4
1.76,1,21.5,30.4
10.05,2,14.8,61.5
2.87,1,6.5,24.9
5.8,2,12.9,40.5
2.76,2,9.7,28.5
1.5,2,11.9,34.3
1.65,3,15.8,38.9
2.95,2,19.0,41.9
3.64,1,16.5,34.7
4.66,1,11.8,36.2
5.77,2,14.1,44.0
6.67,1,9.6,44.6
7.65,2,13.5,53.7
8.29,1,11.4,50.1
0.65,2,16.0,32.8
4.17,3,15.9,43.2
9.25,2,13.5,66.3
3.27,2,12.5,34.6
3.56,2,11.2,37.0
7.05,1,17.4,45.3
2.85,2,15.4,38.4
4.17,3,16.3,45.6
7.02,1,10.6,44.2
6.5,2,14.7,55.1
16.91,1,12.7,74.2
3.04,3,15.6,43.9
2.77,1,21.8,40.1
3.65,2,15.6,40.7
4.07,1,14.6,39.3
9.71,2,5.4,56.8
4.21,3,10.4,37.3
3.96,3,5.6,42.7
6.29,3,10.0,47.7
5.46,2,16.2,47.0
3.25,1,19.0,34.3
3.17,1,11.9,37.1
5.44,2,4.5,37.0
9.35,2,17.2,63.2
3.11,2,16.1,40.5
2.75,1,11.2,30.7
10.93,1,4.0,51.5
1.9,2,16.6,41.6
16.14,1,11.7,79.7
5.16,3,12.9,47.8
2.77,1,4.2,19.9
2.21,2,8.9,34.7
1.62,2,17.9,39.5
4.36,2,8.3,37.9
5.82,2,14.6,53.8
7.2,3,11.5,50.1
8.47,1,12.5,42.2
1.64,2,14.6,35.3
2.42,2,8.9,32.2
5.18,3,12.6,45.8
13.67,3,12.4,71.3
5.96,2,9.0,40.5
4.12,3,13.3,46.8
4.24,2,10.9,38.4
2.89,1,7.1,27.1
6.56,3,18.3,57.4
3.99,1,15.5,40.9
8.48,1,11.1,47.1
4.23,1,14.0,35.8
1.87,2,6.1,22.8
1.46,3,11.6,39.4
3.88,1,12.9,31.2
3.74,1,13.7,29.6
2.43,2,7.5,33.7
4.06,1,11.4,31.3
5.65,2,13.3,48.2
2.98,1,7.9,28.1
2.25,1,19.8,33.3
2.09,2,10.0,34.2
5.6,2,4.8,36.6
5.02,3,10.6,53.8
2.62,1,17.2,30.3
7.33,1,5.7,37.6
5.29,2,19.3,44.7
1.75,3,15.5,45.9
8.09,1,12.7,46.1
1.75,1,13.4,28.9
3.02,1,17.9,39.1
8.38,3,7.8,47.1
2.42,1,10.8,27.9
6.4,3,10.0,51.7
14.98,1,14.4,73.1
4.6,1,9.8,32.8
8.77,1,10.1,47.4
1.93,2,10.8,24.6
4.38,3,13.2,43.4
5.0,1,15.2,37.7
2.76,2,8.9,33.9
0.61,1,11.8,18.5
4.04,3,12.0,42.7
7.76,1,14.4,42.4
14.99,1,18.0,74.1
6.49,2,9.7,49.3
7.24,2,8.6,47.6
6.72,1,10.7,42.7
4.04,1,11.9,29.2
3.89,3,15.9,43.4
7.49,1,11.8,47.3
11.41,2,15.2,66.5
6.07,1,12.9,51.4
6.5,1,18.5,51.6
1.9,1,13.3,31.0
1.34,3,18.6,43.6
15.98,3,16.4,89.0
5.47,2,6.7,40.4
3.98,2,12.1,35.4
5.33,1,9.8,38.8
3.43,3,9.5,42.8
7.27,3,12.6,52.6
2.38,1,7.5,24.4
8.71,2,14.9,55.5
9.67,2,19.7,63.9
4.48,1,19.7,43.9
5.66,2,13.3,41.8
7.05,3,14.7,56.2
7.09,1,9.3,36.4
7.76,1,13.9,52.0
9.94,3,10.4,62.7
6.66,3,11.7,53.9
4.82,1,12.6,35.8
6.14,3,14.5,54.6
3.05,1,11.6,23.9
1.08,3,18.3,39.9
6.72,1,10.6,41.3
5.02,2,16.1,44.7
8.6,1,13.5,46.6
4.95,1,11.1,42.1
2.81,2,16.9,41.6
10.73,2,13.5,63.1
5.66,3,9.6,46.1
5.66,3,15.8,61.0
4.03,2,9.1,37.7
5.28,1,12.7,35.3
8.67,2,7.5,54.4
6.54,2,13.9,53.7
1.57,2,3.0,18.6
7.68,1,7.4,47.5
6.58,1,10.4,41.6
3.95,1,14.0,41.1
20.0,1,8.5,80.2
4.02,1,16.7,43.2
10.83,3,11.1,61.3
10.98,1,10.9,51.9
6.02,1,5.1,33.4
2.73,2,16.0,36.7
2.29,1,10.1,22.7
8.48,1,10.9,45.4
3.59,2,13.6,36.2
7.96,1,16.4,48.2
5.3,1,12.0,36.9
3.68,2,16.5,40.7
8.17,2,12.2,56.8
4.08,3,10.7,40.4
1.2,2,13.6,34.6
4.01,2,20.4,49.7
3.7,2,14.9,44.3
8.92,3,9.8,58.3
5.42,1,15.4,39.8
4.08,3,15.4,43.5
5.94,2,11.0,48.5
2.55,1,14.5,32.4
3.56,1,14.2,33.3
13.19,2,6.6,58.9
5.84,2,16.0,51.1
11.55,2,6.6,61.1
7.18,2,14.9,53.1
1.55,3,9.2,29.6
4.0,1,10.4,35.4
4.63,2,12.3,44.1
1.64,1,10.7,20.7
1.06,2,14.4,34.7
1.52,2,14.1,36.8
4.78,3,19.7,54.0
6.84,3,10.1,48.4
11.53,1,11.8,64.2
8.2,2,13.6,50.3
12.14,2,10.5,66.0
8.4,1,8.9,49.2
1.16,2,11.1,31.2
4.03,2,12.5,31.1
8.81,1,20.7,55.9
5.02,2,5.2,35.7
11.79,1,11.7,56.5
4.97,1,6.4,36.8
6.78,1,20.9,50.8
4.88,1,11.4,42.2
6.21,2,15.6,50.9
2.38,2,4.5,18.0
7.26,2,14.1,47.0
5.94,1,13.8,47.8
11.33,3,15.0,64.1
3.53,3,17.9,51.9
5.73,1,15.1,44.9
7.67,3,19.6,68.4
5.23,3,12.9,52.5
11.07,2,7.7,57.5
7.38,1,14.9,49.7
7.25,3,14.8,58.2
5.47,1,9.4,38.9
6.88,3,13.4,50.6
3.18,3,13.1,44.2
1.92,1,9.1,32.8
3.05,2,8.3,33.6
2.22,1,19.1,35.0
7.62,2,13.6,54.3
2.21,1,14.3,35.2
2.53,3,17.4,41.3
6.49,2,7.8,39.9
1.61,1,10.4,27.9
7.44,1,13.8,47.7
2.23,1,16.8,33.2
4.82,1,13.8,39.0
14.97,3,12.2,74.1
3.1,1,12.4,29.6
2.16,2,12.3,35.1
9.51,3,14.9,68.6
2.84,2,4.8,29.7
1.19,1,19.1,34.4
7.11,2,8.2,47.8
3.75,1,12.4,31.7
10.35,2,14.4,57.7
9.2,3,7.7,60.6
4.08,1,8.0,28.4
5.01,2,11.7,38.6
4.0,1,11.0,32.2
2.77,2,13.2,29.6
2.29,1,11.6,25.1
1.38,1,14.3,24.1
2.97,2,13.7,42.0
3.44,3,9.1,39.1
6.1,1,11.2,41.3
8.8,2,13.3,58.0
3.14,2,8.1,35.2
8.92,1,6.1,50.3
3.16,1,10.4,30.8
14.73,1,10.1,69.9
1.61,2,6.8,24.3
4.23,3,7.9,39.3
4.36,3,19.0,52.7
3.73,1,14.2,33.7
2.21,1,12.3,29.4
4.25,2,18.3,44.2
2.31,2,18.5,41.8
8.08,1,11.3,46.8
11.45,2,21.0,69.5
4.06,1,8.1,31.0
4.82,3,4.1,39.5
6.19,2,8.6,45.6
4.61,1,15.0,41.9
1.85,3,13.7,35.2
11.43,1,21.5,71.1
5.57,1,19.6,45.9
5.02,2,12.7,42.0
7.4,1,8.9,43.9
4.03,2,7.5,38.5
7.37,2,15.6,51.8
8.52,1,8.7,45.5
3.47,1,12.7,29.2
5.54,3,11.1,51.1
11.35,1,14.4,61.3
2.24,1,21.3,38.2
3.34,3,13.3,42.9
3.74,1,19.7,41.2
6.75,3,11.1,46.3
6.39,2,7.0,42.8
4.37,1,16.2,46.3
4.54,2,3.0,29.9
2.46,1,14.6,33.6
8.16,1,9.5,35.3
6.74,2,10.2,46.9
3.75,2,7.5,31.8
5.95,1,12.0,42.3
10.64,2,8.3,51.6
4.06,2,7.9,32.8
8.53,3,12.0,56.1
3.92,1,16.2,38.0
5.92,2,13.4,48.7
1.11,2,13.7,30.0
1.98,2,6.7,27.2
8.83,2,13.6,55.5
1.72,1,11.1,30.6
11.85,1,13.4,59.9
2.46,2,11.3,36.9
7.1,3,7.6,49.7
9.55,3,12.6,62.3
4.16,2,5.8,32.7
4.37,3,14.9,48.6
3.79,2,18.9,41.4
4.18,2,16.0,41.6
1.92,1,5.1,21.0
1.65,2,8.8,28.8
8.59,1,12.8,53.3
10.93,1,10.3,54.6
3.62,2,11.3,39.9
4.59,1,13.2,43.5
12.3,2,7.2,62.3
4.09,2,13.3,39.3
3.23,2,14.1,36.6
9.49,1,14.9,62.6
8.42,2,7.2,43.8
16.64,3,13.1,87.1
5.66,1,12.2,39.2
6.88,2,15.0,56.4
3.71,1,5.0,28.6
3.22,3,7.8,38.1
7.23,1,8.2,38.4
8.01,2,14.3,51.0
3.87,1,7.8,29.4
6.32,2,4.4,36.7
5.36,1,7.9,39.9
5.25,2,14.2,41.9
5.88,2,19.6,57.6
1.36,2,17.3,34.7
7.22,1,14.6,51.9
12.06,1,6.0,56.0
13.08,3,12.9,72.3
6.48,2,12.0,48.8
4.02,1,14.5,38.2
9.51,3,11.3,66.0
11.73,1,13.6,55.3
3.32,1,7.4,28.8
7.79,1,10.9,50.7
4.48,1,9.5,39.2
3.11,1,17.1,32.2
7.67,3,3.2,51.6
1.36,1,5.6,24.4
7.7,1,12.8,52.1
4.16,2,10.0,41.9
3.04,1,19.1,37.9
6.8,1,13.2,41.6
4.29,1,11.8,34.2
6.29,2,8.9,38.4
19.44,1,13.0,88.9
2.55,3,14.7,43.1
4.42,3,10.8,46.8
11.64,2,11.8,70.3
3.93,3,12.8,47.2
3.03,2,3.0,25.8
3.64,1,3.0,21.4
7.62,2,14.5,50.1
2.37,3,14.6,42.7
3.3,2,13.0,37.4
7.62,1,12.4,47.6
3.04,1,13.8,30.7
10.85,2,9.1,62.3
8.17,3,9.5,48.4
6.43,2,13.9,45.9
3.54,3,7.5,47.1
10.19,3,12.0,67.5
5.76,1,13.7,45.2
2.31,3,8.7,37.6
2.09,2,17.4,40.6
1.59,1,14.1,27.3
2.07,1,12.4,26.3
6.06,3,9.2,54.2
6.8,3,16.6,53.9
3.16,2,9.6,39.1
8.23,3,18.5,56.3
8.93,3,19.3,66.0
3.45,1,11.2,31.3
6.92,2,16.6,50.1
5.99,1,21.7,45.6
5.52,3,14.9,52.8
8.03,1,12.5,50.8
8.87,3,16.3,61.3
9.01,2,11.9,57.2
10.4,1,14.3,53.7
7.61,3,7.9,51.2
4.69,2,10.7,40.6
5.96,2,14.0,54.3
2.58,1,13.0,33.5
11.93,2,11.9,62.1
5.15,3,9.0,47.3
0.76,2,9.2,21.8
2.4,1,14.0,29.3
16.67,1,12.2,80.2
9.83,3,14.4,66.6
8.37,2,11.2,55.9
8.51,2,10.6,53.3
6.99,3,9.1,44.7
5.75,3,15.7,53.2
6.3,1,10.7,45.2
5.32,1,9.1,35.5
6.08,2,16.7,53.0
8.51,2,9.6,53.2
8.04,2,15.0,54.0
3.08,1,17.2,31.6
3.99,2,17.7,51.1
9.14,2,5.1,48.0
7.12,2,10.1,51.4
2.54,2,13.4,32.4
5.6,2,11.8,46.9
6.07,2,9.9,38.9
6.72,2,18.6,56.1
4.81,3,9.0,42.1
3.14,2,5.7,27.7
2.33,2,9.9,32.4
12.19,1,7.8,58.5
2.56,2,10.9,40.2
8.13,1,9.5,46.2
6.33,1,9.2,42.3
5.57,1,5.2,29.8
3.38,2,20.3,44.5
6.4,3,10.9,53.9
9.18,3,7.5,61.2
2.06,2,9.3,34.8
3.46,3,7.8,41.9
3.22,1,14.5,31.5
4.15,1,9.2,36.0
5.37,2,7.2,42.0
7.22,1,14.0,43.0
7.31,3,11.3,49.9
2.81,1,20.6,36.6
13.47,3,5.8,69.3
6.41,1,3.0,34.0
2.69,3,13.7,37.8
9.71,2,10.2,52.4
3.38,2,16.5,36.9
6.37,2,10.4,47.2
3.24,2,15.5,45.2
8.13,2,7.8,59.9
6.73,1,14.7,48.0
5.57,2,6.4,38.5
5.15,3,3.0,41.4
5.41,2,7.4,41.3
4.79,2,8.2,36.7
1.52,1,17.1,31.1
4.46,1,10.9,31.7
4.28,1,14.1,41.0
8.51,2,14.2,53.7
4.37,2,3.6,34.8
5.98,3,15.0,56.6
6.4,3,10.1,45.9
3.19,2,13.8,35.7
17.62,3,13.2,90.4
5.15,2,10.1,42.5
8.99,2,14.3,55.2
2.05,1,7.3,26.4
4.01,2,6.2,38.4
10.92,2,15.8,66.1
8.71,1,9.2,45.3
1.89,1,11.5,32.3
6.25,2,13.6,46.4
5.89,3,15.8,52.5
2.15,2,8.9,34.6
2.79,1,9.1,29.7
13.09,2,16.5,67.5
2.6,1,10.2,29.2
5.62,1,13.9,49.2
6.78,2,13.1,45.9
3.48,1,11.3,33.5
2.13,2,13.0,25.3
5.73,1,12.2,37.5
20.0,1,10.5,85.0
7.09,2,19.4,58.3
4.98,2,15.8,55.5
7.45,1,9.8,46.3
2.87,2,10.2,34.2
5.53,1,7.1,41.7
3.28,2,11.7,36.6
7.18,3,8.4,52.6
4.05,3,12.1,48.7
6.92,3,8.9,52.5
8.43,2,7.0,46.8
13.28,3,8.6,75.1
2.93,1,12.4,30.9
7.79,3,13.9,58.5
3.75,2,13.0,41.2
3.81,2,11.6,36.0
3.29,3,14.6,45.0
2.7,2,13.2,38.2
8.89,2,20.6,69.6
2.59,2,13.1,34.8
6.38,1,11.9,41.5
7.24,1,13.9,50.6
9.71,2,12.1,58.0
5.33,1,12.9,38.1
5.22,1,10.6,38.5
3.67,2,6.6,30.8
1.96,1,17.2,31.4
9.28,2,5.7,50.5
5.13,3,8.2,42.7
10.1,3,14.9,65.1
9.57,2,16.9,66.6
3.21,2,12.3,30.7
4.17,1,9.8,32.8
7.12,1,11.4,43.1
9.43,1,11.9,56.0
6.14,2,10.7,46.4
2.66,1,8.0,28.6
9.19,2,11.5,59.4
4.71,1,9.5,37.3
5.9,2,12.6,42.6
11.75,1,11.6,56.4
4.86,1,9.2,35.6
6.18,2,17.5,54.9
6.25,1,7.4,37.0
2.08,1,7.9,23.7
5.87,1,17.5,47.3
2.71,1,13.0,36.3
1.43,3,12.4,37.3
5.81,1,8.6,40.7
5.91,1,5.1,39.5
2.95,2,9.5,37.0
7.59,2,3.0,44.5
3.41,1,17.1,39.6
4.21,2,12.5,40.9
8.41,2,6.2,57.9
4.38,3,8.0,41.4
4.83,1,15.2,38.2
3.79,2,10.0,37.0
7.05,1,17.0,48.3
5.24,2,13.4,43.8
1.4,2,12.3,38.0
8.93,2,17.6,65.2
3.7,3,15.0,43.1
3.69,3,13.5,45.0
5.7,3,8.6,47.0
4.68,1,21.9,37.6
6.05,1,12.2,40.2
4.67,1,9.7,35.4
5.15,1,12.6,39.5
6.75,3,12.9,52.3
4.66,2,13.8,45.3
4.55,1,17.3,33.0
1.76,3,13.2,36.3
4.68,2,15.1,50.5
1.34,2,13.2,28.5
2.27,2,13.0,33.8
5.87,3,16.3,61.7
4.07,2,4.3,31.4
4.84,1,3.0,26.1
8.81,2,12.1,60.0
4.07,1,6.9,33.7
6.02,2,5.7,45.7
3.73,2,14.4,41.4
1.8,1,9.8,26.0
7.07,2,11.4,42.1
2.59,3,12.7,39.5
7.87,2,8.5,54.2
2.38,1,14.3,34.4
5.44,1,10.5,36.6
4.59,3,9.3,43.0
5.37,2,9.9,49.1
3.88,3,16.8,49.8
2.97,1,11.4,30.7
5.86,3,13.8,55.1
0.67,3,9.3,33.7
3.27,1,10.3,29.9
5.17,3,7.4,38.7
2.2,1,13.4,34.0
4.72,1,11.9,37.2
8.04,2,10.5,45.9
1.43,2,18.0,44.7
5.96,2,10.7,48.2
1.55,3,14.6,35.1
3.62,3,17.0,50.3
2.91,3,10.0,37.4
5.14,2,15.8,45.7
5.87,1,13.5,40.3
3.2,1,14.7,34.0
7.72,2,19.9,57.5
1.06,1,8.6,31.0
3.37,1,7.2,33.7
2.62,2,16.4,33.3
5.03,2,5.5,41.0
4.46,3,8.8,42.4
11.23,3,11.8,65.8
7.75,3,13.2,56.3
1.54,2,12.1,34.7
5.61,2,9.5,38.7
3.6,1,10.5,35.7
6.73,2,13.4,49.9
2.83,3,5.8,41.0
2.01,1,12.5,29.4
3.25,2,3.0,33.0
7.41,2,11.6,39.5
2.95,2,13.5,38.0
5.67,2,7.5,41.5
6.43,1,9.2,37.0
1.26,2,14.8,36.0
4.17,2,17.4,51.7
5.54,2,6.7,35.6
10.77,2,12.9,57.9
3.97,1,13.6,38.4
2.4,2,7.1,29.0
2.21,1,12.3,35.7
8.44,1,14.5,52.0
5.21,1,16.1,46.0
3.08,2,15.0,34.3
5.3,1,18.4,45.4
4.29,2,20.8,47.7
6.76,1,7.8,42.1
11.2,2,12.9,67.1
10.09,2,5.6,51.7
16.12,1,9.3,67.5
2.12,3,8.3,30.7
4.7,1,13.7,42.9
7.64,2,21.7,57.1
2.78,2,6.1,33.9
10.15,1,14.0,54.9
8.68,3,9.9,58.9
9.92,1,15.6,55.6
5.64,1,14.7,42.9
3.89,2,8.3,32.7
4.28,2,8.5,33.4
1.67,2,4.6,30.1
3.35,3,7.3,40.1
5.05,2,13.8,39.6
9.66,3,16.0,64.3
2.73,1,13.6,31.7
5.34,2,8.6,38.9
4.93,2,13.1,45.4
2.08,2,5.7,31.2
3.7,2,7.6,37.1
4.7,2,14.4,39.0
3.12,1,14.0,26.1
7.29,1,11.7,44.9
6.43,2,12.1,48.5
4.93,2,8.6,40.7
3.17,1,17.7,36.1
2.9,3,16.5,42.0
4.76,2,8.0,36.8
8.45,3,16.1,60.5
7.46,2,3.0,45.7
4.11,1,15.2,37.8
11.71,2,17.0,69.6
3.3,3,11.2,40.4
2.36,1,13.2,33.4
3.23,2,7.6,37.3
5.06,2,10.1,39.4
5.55,2,18.8,48.2
7.15,1,16.3,48.0
3.9,2,15.4,42.7
1.47,3,10.3,37.7
4.18,2,9.1,36.9
5.78,1,14.1,41.9
4.77,2,8.1,45.8
4.77,1,9.7,40.1
2.66,2,12.7,46.3
3.47,2,20.5,43.3
7.53,2,6.8,47.1
4.11,2,13.2,40.0
3.89,2,8.6,36.0
2.56,1,15.0,28.1
5.99,3,15.1,48.7
1.67,1,8.3,23.6
5.64,1,19.1,45.2
6.02,2,7.2,40.1
3.2,2,7.2,32.7
1.6,1,10.1,20.8
4.36,2,16.4,41.9
5.11,2,12.4,44.6
8.03,1,15.7,51.4
4.48,2,15.7,42.5
4.74,3,6.8,54.2
3.07,1,6.6,33.2
8.09,2,14.4,56.0
3.12,1,11.4,28.1
5.81,1,14.2,36.0
9.49,1,15.6,52.7
6.24,3,15.2,56.7
7.81,2,14.9,51.2
4.18,3,13.2,49.7
13.2,3,11.9,74.4
2.73,1,19.5,36.8
7.68,1,14.1,47.0
9.86,2,16.2,62.1
2.35,1,18.7,29.3
2.84,2,13.9,34.3
5.81,2,13.8,49.1
6.39,2,10.3,43.8
0.75,1,6.4,16.4
6.13,1,11.5,37.7
2.39,2,12.8,38.4
2.52,3,7.7,38.0
5.71,3,17.3,52.4
10.34,3,15.3,73.6
2.25,1,15.4,32.4
8.19,3,10.6,59.6
3.33,2,18.0,43.2
2.59,1,21.5,39.3
4.43,1,7.5,30.7
2.43,3,19.4,43.8
5.67,1,13.8,39.5
4.26,2,15.2,42.0
3.2,2,6.1,29.4
4.81,2,15.3,46.5
0.87,3,11.7,30.0
6.54,1,11.4,42.1
2.56,2,10.8,29.3
3.45,1,11.0,40.3
4.17,1,10.9,33.2
4.87,2,12.2,42.1
10.67,1,16.1,63.6
5.95,3,10.0,48.1
5.74,1,21.1,46.0
8.09,1,9.4,46.2
7.98,1,12.2,50.7
3.29,3,13.1,46.0
11.36,2,10.9,65.5
4.34,2,10.0,38.6
2.78,2,3.0,30.9
4.68,1,17.4,39.4
4.98,1,7.8,36.5
4.55,1,7.8,35.1
2.07,2,4.6,34.2
4.21,3,11.7,42.4
3.12,3,7.8,44.2
4.2,1,10.7,36.8
5.63,3,16.7,53.6
3.85,1,17.3,39.0
1.92,1,15.6,36.5
5.8,1,12.8,38.5
4.53,3,14.2,49.9
5.13,1,11.3,44.8
2.94,2,13.4,33.2
9.85,2,11.5,55.0
1.51,2,6.7,23.0
4.47,2,18.6,48.6
7.53,2,9.1,41.9
2.46,1,7.4,32.4
1.35,1,11.4,27.4
2.19,1,17.7,39.0
3.01,2,12.4,36.6
4.99,1,8.8,34.6
3.64,1,10.8,28.3
2.48,2,18.9,42.1
3.45,3,6.6,37.9
4.63,2,7.7,39.0
2.91,3,5.0,28.6
6.56,2,13.0,46.1
2.5,1,10.3,28.9
3.51,2,13.4,39.1
3.52,1,13.9,33.9
12.12,1,10.5,59.6
12.71,2,15.2,65.3
10.93,2,11.8,63.0
2.88,3,11.5,38.3
12.27,1,15.4,69.0
3.91,2,13.4,40.8
3.8,1,4.6,31.0
3.86,3,3.0,35.6
6.05,1,16.8,46.6
4.71,2,9.5,38.2
6.4,3,9.3,48.2
1.58,3,13.7,34.7
4.91,1,16.8,41.6
4.99,1,10.7,40.1
2.07,1,15.2,32.6
4.86,1,6.7,30.2
3.64,1,5.4,26.6
4.39,1,3.0,27.2
1.08,3,13.7,32.0
3.73,2,9.8,35.7
6.01,3,11.6,48.3
5.34,3,16.6,61.9
1.44,2,5.6,24.0
1.25,2,21.8,42.2
5.18,1,12.2,36.6
5.57,2,3.4,35.1
4.45,2,16.4,44.7
10.83,2,20.0,68.0
3.82,2,11.5,33.4
4.56,2,9.1,34.2
2.41,3,16.4,46.1
3.03,1,15.6,31.2
1.46,1,3.0,21.9
7.28,1,11.4,41.9
7.66,1,12.8,46.9
10.78,2,5.8,51.0
4.06,1,10.6,32.4
3.71,3,7.9,32.6
6.06,1,11.5,44.9
8.26,1,15.9,57.8
13.93,2,17.8,78.1
4.86,1,11.2,32.8
2.99,3,11.7,42.6
2.26,1,8.5,23.0
1.32,1,10.7,20.6
1.7,1,18.5,34.6
3.95,2,11.6,40.2
1.83,2,6.5,22.8
4.78,1,9.3,37.6
5.55,1,11.1,40.4
10.08,2,13.8,57.5
3.9,1,7.8,30.4
8.6,3,15.9,59.3
6.43,1,13.7,45.0
1.7,2,10.2,34.2
3.59,2,13.4,44.3
8.28,3,18.0,64.5
4.3,1,7.9,29.0
3.81,1,11.0,31.8
8.2,2,14.2,60.3
10.87,1,12.3,55.5
7.31,1,7.6,42.7
3.02,2,10.2,36.1
1.41,2,16.9,37.2
8.94,2,12.6,53.6
3.76,3,10.0,39.6
0.55,2,9.8,24.0
3.67,2,9.0,35.6
10.11,1,8.0,49.2
5.37,2,17.5,50.8
5.48,1,10.9,37.5
1.81,2,16.0,30.2
4.39,1,11.4,32.9
1.93,1,14.1,29.6
3.42,1,12.8,35.0
8.1,2,15.4,53.2
5.67,2,18.7,47.6
5.22,1,12.5,39.8
1.2,2,6.4,25.0
3.31,2,14.4,45.2
6.95,1,19.3,49.4
1.65,1,14.5,31.5
4.77,2,11.5,39.8
4.12,1,12.7,31.6
6.11,1,5.0,35.9
1.71,2,8.6,28.6
3.04,1,14.2,36.2
2.98,1,18.0,38.4
2.6,2,19.1,34.6
10.64,2,11.4,60.7
8.46,2,9.8,50.2
3.84,1,8.4,30.1
2.05,1,8.2,23.9
1.5,1,9.5,20.0
7.63,2,6.8,50.2
6.89,2,16.7,43.9
6.46,2,4.5,40.2
9.49,3,17.8,63.9
5.81,1,16.0,38.8
3.99,2,9.7,32.0
11.32,2,13.1,61.3
8.06,1,10.5,41.2
5.73,3,17.9,54.0
8.94,2,15.4,57.4
2.45,3,15.3,40.7
4.01,1,8.1,23.0
3.59,1,15.9,36.9
5.12,3,9.8,46.6
6.19,1,15.4,42.5
3.77,3,18.5,50.6
2.17,1,10.9,28.2
2.33,3,8.0,31.8
3.16,2,11.1,39.6
1.21,2,18.8,37.1
2.66,2,7.3,33.1
4.3,3,11.9,44.7
8.29,2,11.2,55.9
6.47,3,17.5,58.0
2.13,2,8.5,28.9
6.89,2,9.9,41.2
8.57,2,9.1,49.6
13.53,1,12.7,61.8
3.88,2,8.1,31.7
1.81,1,9.4,27.1
10.12,3,6.9,63.6
6.67,2,13.6,51.6
2.42,2,11.6,37.3
2.99,3,13.1,39.1
5.25,1,4.9,35.2
9.03,1,15.9,50.4
2.04,3,12.3,34.1
3.71,2,18.1,42.2
5.23,2,18.6,47.2
2.95,1,9.3,29.5
6.56,2,12.3,49.2
5.85,3,9.7,48.3
4.18,1,12.0,37.1
1.95,3,13.7,36.8
6.43,3,11.4,48.1
4.99,3,10.6,47.5
9.17,3,18.2,71.0
2.04,1,5.4,24.2
4.29,2,12.0,38.6
3.94,2,8.6,38.7
6.33,1,9.2,38.8
13.69,1,10.8,63.8
8.44,1,12.8,48.9
5.13,3,7.3,43.0
3.24,2,16.2,45.4
4.66,1,10.5,38.2
5.04,2,10.6,44.4
5.36,1,7.6,30.9
11.22,2,12.7,69.2
8.61,2,6.4,45.9
3.16,3,9.3,42.1
5.71,1,14.9,30.8
10.59,1,15.9,59.6
10.13,2,7.0,57.4
9.2,3,5.2,55.0
6.23,1,21.2,47.1
11.47,3,13.0,64.5
5.41,3,11.6,49.7
8.4,2,9.4,54.4
8.98,1,10.8,52.5
3.5,1,9.4,29.5
7.41,1,10.1,48.5
3.11,2,5.7,34.0
2.19,1,11.9,32.8
1.86,3,10.7,38.1
1.01,1,9.4,26.6
9.63,2,8.8,55.0
4.69,3,8.4,44.5
14.27,1,14.2,66.5
4.61,2,10.7,33.5
6.76,2,7.4,43.9
3.41,2,12.9,37.7
2.6,2,11.7,31.5
6.63,1,10.5,39.9
4.14,2,16.6,42.3
7.63,1,16.1,51.5
2.43,3,13.8,39.4
4.77,3,16.3,50.8
4.3,3,19.1,60.4
4.39,3,10.9,40.0
7.64,1,12.7,45.7
6.55,1,8.2,45.6
5.7,1,11.2,36.1
3.44,1,7.8,30.7
7.39,2,12.9,48.3
5.19,2,8.2,38.7
1.24,1,12.3,26.3
6.04,2,9.6,45.4
1.81,3,7.7,35.6
3.4,3,13.5,41.4
4.41,3,4.4,37.7
13.82,2,17.9,75.9
5.69,1,12.5,42.0
3.14,2,7.7,29.4
6.78,2,10.2,45.7
1.04,1,9.3,19.7
6.02,1,10.6,41.8
5.23,2,15.8,51.1
3.86,1,13.3,26.0
2.46,1,8.0,23.8
4.94,2,6.1,38.2
3.86,2,12.1,37.6
2.96,3,14.9,36.6
8.05,1,5.3,44.3
10.76,3,14.0,71.1
6.51,1,12.8,43.5
8.32,3,13.3,56.5
